#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18976
#Date Time: 2018-10-19 14:37:12.232
#Sample rate: 4000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -2.45 V
#Channel 2: Range: 500 mV/div Offset: -2.45 V

Time (s),Channel 1 (V),Channel 2 (V)
-1.024,1.5165242023181111,4.2178292989458477
-1.0237499999999999,1.5165242023181111,4.2201684362239567
-1.0235000000000001,1.5165242023181111,4.222507573502063
-1.02325,1.5165242023181111,4.2245125483118704
-1.0229999999999999,1.5165242023181111,4.2265175231216778
-1.02275,1.5165242023181111,4.228856660399785
-1.0225,1.5165242023181111,4.2308616352095925
-1.0222500000000001,1.5165242023181111,4.2332007724876997
-1.022,1.5165242023181111,4.2355399097658086
-1.0217499999999999,1.5165242023181111,4.2378790470439167
-1.0215000000000001,1.5165242023181111,4.2398840218537215
-1.02125,1.5165242023181111,4.2422231591318305
-1.0209999999999999,1.5165242023181111,4.2442281339416388
-1.02075,1.5165242023181111,4.246567271219746
-1.0205,1.5165242023181111,4.2485722460295525
-1.0202500000000001,1.5165242023181111,4.2509113833076597
-1.02,1.5165242023181111,4.2532505205857687
-1.0197499999999999,1.5165242023181111,4.2552554953955761
-1.0195000000000001,1.5165242023181111,4.2575946326736824
-1.01925,1.5165242023181111,4.2595996074834899
-1.0189999999999999,1.5165242023181111,4.2619387447615988
-1.01875,1.5165242023181111,4.2639437195714045
-1.0185,1.5165242023181111,4.2662828568495126
-1.0182500000000001,1.5165242023181111,4.2686219941276198
-1.018,1.5165242023181111,4.2706269689374272
-1.0177499999999999,1.5165242023181111,4.2726319437472355
-1.0175000000000001,1.5165242023181111,4.274971081025341
-1.01725,1.5165242023181111,4.2773102183034499
-1.0169999999999999,1.5165242023181111,4.2796493555815589
-1.01675,1.5165242023181111,4.2819884928596661
-1.0165,1.5165242023181111,4.2839934676694735
-1.0162500000000001,1.5165242023181111,4.2863326049475798
-1.016,1.5165242023181111,4.2883375797573873
-1.0157499999999999,1.5165242023181111,4.2906767170354962
-1.0155000000000001,1.5165242023181111,4.2926816918453019
-1.01525,1.5165242023181111,4.2950208291234109
-1.0149999999999999,1.5165242023181111,4.2973599664015198
-1.01475,1.5165242023181111,4.2993649412113255
-1.0145,1.5165242023181111,4.3013699160211321
-1.0142500000000001,1.5165242023181111,4.3033748908309386
-1.014,1.5165242023181111,4.3057140281090467
-1.0137499999999999,1.5165242023181111,4.3080531653871557
-1.0135000000000001,1.5165242023181111,4.310392302665262
-1.01325,1.5165242023181111,4.3123972774750694
-1.0129999999999999,1.5165242023181111,4.3147364147531784
-1.01275,1.5165242023181111,4.3170755520312856
-1.0125,1.5165242023181111,4.319080526841093
-1.0122500000000001,1.5165242023181111,4.3214196641191993
-1.012,1.5165242023181111,4.3234246389290067
-1.0117499999999999,1.5165242023181111,4.3260979386754173
-1.0115000000000001,1.5165242023181111,4.328102913485222
-1.01125,1.5165242023181111,4.330442050763331
-1.0109999999999999,1.5165242023181111,4.3324470255731393
-1.01075,1.5165242023181111,4.3347861628512456
-1.0105,1.5165242023181111,4.3367911376610531
-1.0102500000000001,1.5165242023181111,4.3391302749391594
-1.01,1.5165242023181111,4.3411352497489677
-1.0097499999999999,1.5165242023181111,4.3434743870270767
-1.0095000000000001,1.5165242023181111,4.3454793618368814
-1.00925,1.5165242023181111,4.3478184991149904
-1.0089999999999999,1.5165242023181127,4.3498234739247978
-1.00875,1.520183926943472,4.3524967736712057
-1.0085,1.5165242023181111,4.3545017484810131
-1.0082500000000001,1.5165242023181111,4.3565067232908188
-1.008,1.5165242023181111,4.3585116981006262
-1.0077499999999999,1.5165242023181111,4.3608508353787352
