#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18976
#Date Time: 2018-11-02 16:45:03.374
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.45285 V
#Offset: -3.72698e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.47492 V
#Offset: 0.000104841 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
145082.87784959387,-0.069965281826039352,-34.521351731855894,30.139721485407733
170735.26474706922,-0.074751603747054238,-34.02724123125472,28.117961992033237
200923.30025650471,-0.089342292606650817,-33.538954175667989,26.381021390212254
236448.94126454048,-0.093845029290209894,-33.129218035366002,23.45271687162932
278255.94022071263,-0.10555589303313759,-32.757046968801632,21.778355971484757
327454.91628777271,-0.12223928068079098,-32.490012615351375,19.567688615854678
385352.85937105311,-0.1474754935601538,-32.198489135735826,17.440100314576483
453487.8508128582,-0.15981951497968427,-32.012637652462431,15.436309891828913
533669.92312063125,-0.17955336313684792,-31.819364744242357,13.25554263142098
628029.14418342523,-0.20942213613090513,-31.677619852255393,11.604247030326306
739072.20335257752,-0.22917756816404661,-31.579503946349202,10.135706531352355
869749.00261778338,-0.24064806136379396,-31.500237388271508,8.537956667192617
1023531.0218990258,-0.26505692203708275,-31.43572251457481,7.1787949506014357
1204503.5402587829,-0.29640445062207221,-31.410231701201905,6.1458588955232756
1417474.162926805,-0.33288095535517093,-31.402782459072132,5.1535926679720419
1668100.5372000574,-0.38189045490993856,-31.385401685047892,4.3120893833145573
1963040.6500402715,-0.44755029557480364,-31.424918526121775,3.5307718252601603
2310129.7000831584,-0.5356912085744473,-31.421589678213707,3.0847438245890828
2718588.2427329421,-0.65493688985645604,-31.450919061026362,2.6639943083685225
3199267.1377973831,-0.81335276764990483,-31.477637095711003,2.5384673506783599
3764935.8067924716,-1.0246532675157496,-31.502263653048139,2.4635404312821265
4430621.457583881,-1.288763645050772,-31.501417985839012,2.5137695447501329
5214008.2879996821,-1.6384642600227117,-31.519868193414148,2.6805750520568381
6135907.2734131757,-2.0818615088014347,-31.560318725799764,2.9691081215231918
7220809.0183854625,-2.635254729683139,-31.537203104130882,3.2205120274946069
8497534.3590864502,-3.2774188136558435,-31.555213495707189,3.6208555126240149
10000000,-4.0387381740702297,-31.536289626122983,3.8182026600528616
