#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18976
#Date Time: 2018-11-02 16:25:04.716
#Sample rate: 800Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 600 mV/div Offset: 0 V

Time (s),Channel 2 (V)
-5.1193749999999998,-0.12312031274604943
-5.118125,-0.11209107097990292
-5.1168749999999994,-0.1010618292137464
-5.1156249999999996,-0.093709001369645398
-5.1143749999999999,-0.082679759603493885
-5.1131249999999993,-0.071650517837339028
-5.1118749999999995,-0.064297689993241369
-5.1106249999999998,-0.056944862149140359
-5.109375,-0.045915620382993863
-5.1081249999999994,-0.038562792538884491
-5.1068749999999996,-0.031209964694786832
-5.1056249999999999,-0.02753355077273633
-5.1043750000000001,-0.020180722928638664
-5.1031249999999995,-0.012827895084534314
-5.1018749999999997,-0.0091514811624838106
-5.100625,-0.0017986533183828035
-5.0993749999999993,0.0018777606036693719
-5.0981249999999996,0.0055541745257182036
-5.0968749999999998,0.0092305884477687072
-5.0956250000000001,0.012907002369817538
-5.0943749999999994,0.016583416291869713
-5.0931249999999997,0.020259830213920218
-5.0918749999999999,0.020259830213920218
-5.0906249999999993,0.023936244135970723
-5.0893749999999995,0.023936244135970723
-5.0881249999999998,0.027612658058021225
-5.086875,0.027612658058021225
-5.0856249999999994,0.031289071980071727
-5.0843749999999996,0.031289071980071727
-5.0831249999999999,0.031289071980071727
-5.0818749999999993,0.031289071980073399
-5.0806249999999995,0.034965485902122229
-5.0793749999999998,0.034965485902122229
-5.078125,0.031289071980073399
-5.0768749999999994,0.031289071980071727
-5.0756249999999996,0.031289071980071727
-5.0743749999999999,0.031289071980071727
-5.0731250000000001,0.031289071980071727
-5.0718749999999995,0.031289071980071727
-5.0706249999999997,0.027612658058021225
-5.069375,0.027612658058021225
-5.0681249999999993,0.023936244135970723
-5.0668749999999996,0.023936244135970723
-5.0656249999999998,0.020259830213920218
-5.0643750000000001,0.020259830213920218
-5.0631249999999994,0.016583416291869713
