#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18976
#Date Time: 2018-11-02 16:36:07.397
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.45285 V
#Offset: -3.72698e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.47492 V
#Offset: 0.000104841 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
75646.332755462907,-1.6621674645885935,-33.671397506751433,57.917208218490558
89021.508544503828,-1.5873046866086042,-32.739362219515151,57.931914443078313
104761.57527896641,-1.5236368303785057,-31.760689227359467,57.858195597787898
123284.67394420666,-1.4625439745133244,-30.746221518152549,57.29399664001329
145082.87784959387,-1.3998475712530136,-29.605695956356428,56.207101570107099
170735.26474706922,-1.3387109237562946,-28.545307931620204,54.860991688589777
200923.30025650471,-1.2785582701506379,-27.443398729550054,53.315126531238832
236448.94126454048,-1.2006393493464942,-26.504187113536464,51.02513849489285
278255.94022071263,-1.1258524460537518,-25.588131214979146,48.270946291852788
327454.91628777271,-1.0527814596107374,-24.856442113268358,45.14114443931328
385352.85937105311,-0.99167983709244967,-24.220002928846675,41.369178962030503
453487.8508128582,-0.90891853171402071,-23.659922323165063,36.975720034479373
533669.92312063125,-0.8367763997918849,-23.154075085209843,32.445888308764431
628029.14418342523,-0.77905094708733236,-22.664591184406973,28.378006085028453
739072.20335257752,-0.7258340081841409,-22.152975526769808,24.609377333779452
869749.00261778338,-0.67065513055131465,-21.653167552728171,21.08060749033854
1023531.0218990258,-0.63897414702037492,-21.174101716569883,17.867265395898841
1204503.5402587829,-0.62376231043643049,-20.815960446634584,14.66384927439978
1417474.162926805,-0.61841213748767299,-20.506097729870053,11.505697952496591
1668100.5372000574,-0.63487373532376035,-20.405880179484079,8.5020564171234128
1963040.6500402715,-0.66903351300648262,-20.44103700432359,5.9883673996555871
2310129.7000831584,-0.73237040684182331,-20.621994975566199,4.157212821808713
2718588.2427329421,-0.82217945774997969,-20.835714359470661,2.9538949441601261
3199267.1377973831,-0.94152460015345762,-20.925061392715236,0.55528613336559829
3764935.8067924716,-1.1178521394123704,-21.001115467398662,-3.3625172079135837
4430621.457583881,-1.3458379495967763,-21.160053956520347,-7.9577124709799421
5214008.2879996821,-1.6735068573001044,-21.301452638189446,-11.177087967215236
6135907.2734131757,-2.1273837357609207,-21.862095799364191,-13.304620434377966
7220809.0183854625,-2.6577458075999334,-23.376070187968956,-9.7768997065163319
8497534.3590864502,-3.1894223040572967,-24.712750313330236,-2.3253805723134633
10000000,-3.7848719619930842,-25.390974762024147,3.9701929001644487
