#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2ABA7
#Date Time: 2018-10-02 15:24:39.445
#Sample rate: 2666.67Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 200 mV/div Offset: -116 mV

Time (s),Channel 2 (V)
-1.54125,-0.098718365701004729
-1.540875,-0.1097754316473584
-1.5405,-0.11949224717597223
-1.540125,-0.12719868707797904
-1.5397500000000002,-0.13322981395780281
-1.5393750000000002,-0.13725056521102325
-1.5390000000000001,-0.13959600344206979
-1.5386250000000001,-0.13926094083763485
-1.5382500000000001,-0.13725056521102508
-1.5378750000000001,-0.13255968874893564
-1.5375000000000001,-0.12585843666023644
-1.5371250000000001,-0.11748187154936246
-1.5367500000000001,-0.10742999341631368
-1.536375,-0.096037864865525069
-1.536,-0.083640548501431572
-1.535625,-0.070908169532903104
-1.53525,-0.056835540146634833
-1.534875,-0.042762910760366535
-1.5345,-0.027685093560786647
-1.534125,-0.012942338965648156
-1.5337500000000002,0.0024705408383459693
-1.5333750000000002,0.017213295433484488
-1.5330000000000001,0.031956050028629404
-1.5326250000000001,0.045693616810462731
-1.5322500000000001,0.05876105838342615
-1.5318750000000001,0.070153186934214767
-1.5315000000000001,0.07987000246282859
-1.5311250000000001,0.087911504969267612
-1.5307500000000001,0.093607569244661917
-1.530375,0.096958195289011506
-1.53,0.097963383102316393
-1.529625,0.096958195289011506
-1.52925,0.094277694453531846
-1.528875,0.089251755387007442
-1.5285,0.082550503298304309
-1.528125,0.073838875582994595
-1.5277500000000002,0.063451934845520308
-1.5273750000000001,0.051389681085862518
-1.5270000000000001,0.037987176908458667
-1.5266250000000001,0.023244422313320454
-1.5262500000000001,0.0078315425093123253
-1.5258750000000001,-0.007581337294695803
-1.5255000000000001,-0.022659154494268974
-1.5251250000000001,-0.037736971693842131
-1.52475,-0.052479726288980344
-1.524375,-0.066552355675248642
-1.524,-0.079954859852647026
-1.523625,-0.092017113612305551
-1.52325,-0.10206899174535433
-1.522875,-0.1097754316473584
-1.5225,-0.11513643331831912
-1.5221250000000002,-0.118151996758231
-1.5217500000000002,-0.11848705936266719
-1.5213750000000001,-0.1164766837360576
-1.5210000000000001,-0.11245593248283808
-1.5206250000000001,-0.10642480560300882
-1.5202500000000001,-0.098718365701004729
-1.5198750000000001,-0.089671675381260835
-1.5195000000000001,-0.079284734643777111
-1.5191250000000001,-0.067557543488553529
-1.51875,-0.054490101915590117
-1.518375,-0.040082409924886847
-1.518,-0.024669530120878719
-1.517625,-0.0085865251080006755
-1.51725,0.0081666051137472828
-1.516875,0.024919735335502874
-1.5165,0.041672865557250541
-1.5161250000000002,0.057755870570113957
-1.5157500000000002,0.073503812978557209
-1.5153750000000001,0.087911504969267612
-1.5150000000000001,0.10097894654223102
-1.5146250000000001,0.11237107509301965
-1.5142500000000001,0.12108270280832859
-1.5138750000000001,0.12744889229259282
-1.5135000000000001,0.13079951833694242
-1.5131250000000001,0.13046445573250745
-1.51275,0.12711382968815785
-1.512375,0.12108270280832859
-1.512,0.11203601248858469
-1.511625,0.10164907175110094
-1.51125,0.089251755387007442
-1.510875,0.075514188605167412
-1.5105,0.060771434010028894
-1.5101250000000002,0.045358554206034782
-1.5097500000000001,0.028940486588714773
-1.5093750000000001,0.012522418971401758
-1.5090000000000001,-0.0045657738547811716
-1.5086250000000001,-0.021318904076529144
-1.5082500000000001,-0.037066846484972216
-1.5078750000000001,-0.051809601080110429
-1.5075000000000001,-0.065547167861943756
-1.507125,-0.077274359017167338
-1.50675,-0.086656111941346203
-1.506375,-0.093692426634480352
-1.506,-0.098048240492134814
-1.505625,-0.099723553514309615
-1.50525,-0.098383303096569785
-1.504875,-0.094027489238912423
-1.5045000000000002,-0.08766129975465399
-1.5041250000000002,-0.079284734643780913
-1.5037500000000001,-0.068897793906293359
-1.5033750000000001,-0.056835540146634833
-1.5030000000000001,-0.04343303596923645
-1.5026250000000001,-0.029360406582968152
-1.5022500000000001,-0.014282589383394995
-1.5018750000000001,0.0011302904206131476
-1.5015000000000001,0.016208107620186318
-1.501125,0.03061579961088956
-1.50075,0.044353366392722901
-1.500375,0.057085745361251355
-1.5,0.068812936516474937
-1.499625,0.079534939858393633
-1.49925,0.088581630178141191
-1.498875,0.096623132684579616
-1.4985000000000002,0.10332438477327269
-1.4981250000000002,0.10902044904866745
-1.4977500000000001,0.11304120030188956
-1.4973750000000001,0.11538663853293428
-1.4970000000000001,0.11605676374180419
-1.4966250000000001,0.11505157592849932
-1.4962500000000001,0.11170094988414972
-1.4958750000000001,0.10701007342206029
-1.4955000000000001,0.10030882133336111
-1.495125,0.091597193618052158
-1.49475,0.080875190276133463
-1.494375,0.068812936516474937
-1.494,0.055410432339076554
-1.493625,0.041672865557243227
-1.49325,0.027265173566533421
-1.492875,0.012857481575830469
-1.4925000000000002,-0.00088008520599036459
-1.4921250000000001,-0.014282589383394995
-1.4917500000000001,-0.026679905747488492
-1.4913750000000001,-0.038072034298277102
-1.4910000000000001,-0.048123912431325883
-1.4906250000000001,-0.056500477542199862
-1.4902500000000001,-0.063536792235334011
-1.4898750000000001,-0.068897793906293359
-1.4895,-0.072248419950642961
-1.489125,-0.073923732972817763
-1.48875,-0.073923732972817763
-1.488375,-0.07191335734620799
-1.488,-0.067892606092988472
-1.487625,-0.062196541817590982
-1.48725,-0.05516022712445607
-1.4868750000000002,-0.046448599409155043
-1.4865000000000002,-0.036396721276106873
