#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18988
#Date Time: 2018-10-05 14:07:37.283
#Start: 10 Hz
#Stop: 1e+06 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.43833 V
#Offset: 1.99864e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.48642 V
#Offset: -0.000238097 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10,0.012545850371817886,-0.018481432825101861,-1.6206353311067758
11.233240329780266,0.012564723856168403,-0.019427109758228839,-1.8195854957669155
12.618568830660211,0.01244957818533388,-0.020988919195911608,-2.0419670056881856
14.174741629268048,0.012249207084515034,-0.022008445255752213,-2.2940308003106296
15.922827933410938,0.012400754671269198,-0.023863981731026988,-2.5749200347671319
17.886495290574349,0.012055923492176237,-0.02612172979153158,-2.8924205291339575
20.092330025650458,0.012268859352921647,-0.029353098099111127,-3.2455038472304381
22.570197196339215,0.012167442920875828,-0.032407735044837051,-3.6430293877780002
25.353644939701113,0.012136892886290961,-0.036907784220773163,-4.0913299266839687
28.480358684358048,0.012077603024500581,-0.042294293411145767,-4.5913094210859366
31.992671377973846,0.012201903836475845,-0.049016682106001602,-5.1529693856972614
35.938136638046252,0.012302775435892475,-0.057433017093130895,-5.7821812024470916
40.370172585965584,0.012004325589528365,-0.067476895108717141,-6.489675003528351
45.348785081285826,0.012372358529014783,-0.080336910939110745,-7.2793201782930623
50.941380148163859,0.012291909886128698,-0.09580462145578518,-8.1644261237701983
57.223676593502205,0.012104264015511509,-0.11509524251047015,-9.1550101516487636
64.28073117284319,0.012254115762205442,-0.13967823700131765,-10.263160330609466
72.208090183854566,0.012268443816081158,-0.17004535976469407,-11.498356108948769
81.113083078968714,0.012195701484372346,-0.20729031363034442,-12.878641189023337
91.116275611548872,0.012398350107938477,-0.25340655266801021,-14.411915754303934
102.35310218990257,0.012149218768381112,-0.31091663501598221,-16.118496364892394
114.97569953977356,0.012379531370171908,-0.38192918208043686,-18.011923182122672
129.15496650148842,0.011884995600150109,-0.46897795845262408,-20.098515079175087
145.08287784959387,0.01209204889443422,-0.57655049000619907,-22.401723687318622
162.97508346206433,0.011999084288442024,-0.70703214118688196,-24.924636619169576
