#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18976
#Date Time: 2018-11-02 15:48:13.463
#Sample rate: 800Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 600 mV/div Offset: 0 V

Time (s),Channel 1 (V)
-5.1187500000000004,-0.39900972110286126
-5.1175000000000006,-0.40266944572822055
-5.11625,-0.40632917035358318
-5.1150000000000002,-0.41364861960430516
-5.1137500000000005,-0.41730834422966612
-5.1124999999999998,-0.42096806885503041
-5.1112500000000001,-0.42828751810574905
-5.1100000000000003,-0.43194724273111001
-5.1087500000000006,-0.43560696735646931
-5.1074999999999999,-0.43926669198183194
-5.1062500000000002,-0.43926669198183194
-5.1050000000000004,-0.4429264166071929
-5.1037500000000007,-0.4429264166071929
-5.1025,-0.44658614123255391
-5.1012500000000003,-0.44658614123255391
-5.1000000000000005,-0.44658614123255391
-5.0987499999999999,-0.45024586585791487
-5.0975000000000001,-0.45024586585791487
-5.0962500000000004,-0.44658614123255391
-5.0950000000000006,-0.44658614123255391
-5.09375,-0.44658614123255391
-5.0925000000000002,-0.44658614123255391
-5.0912500000000005,-0.4429264166071929
-5.0899999999999999,-0.43926669198183027
-5.0887500000000001,-0.43560696735647098
-5.0875000000000004,-0.43194724273111001
-5.0862500000000006,-0.42462779348039137
-5.085,-0.42096806885502708
-5.0837500000000002,-0.41364861960430516
-5.0825000000000005,-0.40998889497894414
-5.0812499999999998,-0.40266944572821889
-5.0800000000000001,-0.39534999647750024
-5.0787500000000003,-0.39169027185213928
-5.0775000000000006,-0.38437082260142069
-5.0762499999999999,-0.37705137335069205
-5.0750000000000002,-0.36973192409997346
-5.0737500000000004,-0.36241247484925149
-5.0725000000000007,-0.3514333009731736
-5.07125,-0.34411385172244663
-5.0700000000000003,-0.33313467784636375
-5.0687500000000005,-0.32581522859564177
-5.0674999999999999,-0.3148360547195555
-5.0662500000000001,-0.30751660546883691
-5.0650000000000004,-0.30019715621811499
-5.0637500000000006,-0.28921798234203705
-5.0625,-0.28189853309131008
-5.0612500000000002,-0.2709193592152272
-5.0600000000000005,-0.26359990996450522
-5.0587499999999999,-0.25262073608841901
-5.0575000000000001,-0.24530128683770036
-5.0562500000000004,-0.23432211296161745
-5.0550000000000006,-0.22700266371089883
-5.05375,-0.21602348983481259
-5.0525000000000002,-0.20870404058409064
-5.0512500000000005,-0.2013845913333687
-5.0499999999999998,-0.19040541745728246
-5.0487500000000001,-0.18308596820656384
-5.0475000000000003,-0.17576651895584189
-5.0462500000000006,-0.16844706970512327
-5.0449999999999999,-0.16112762045439466
-5.0437500000000002,-0.15380817120367604
-5.0425000000000004,-0.14648872195295409
-5.0412500000000007,-0.13916927270223547
-5.04,-0.1318498234515102
-5.0387500000000003,-0.12453037420078826
-5.0375000000000005,-0.11721092495006631
-5.0362499999999999,-0.11355120032470201
-5.0350000000000001,-0.10623175107398339
-5.0337500000000004,-0.098912301823261439
-5.0325000000000006,-0.095252577197902144
-5.03125,-0.091592852572539504
-5.0300000000000002,-0.084273403321817555
-5.0287500000000005,-0.080613678696456581
-5.0274999999999999,-0.076953954071093941
-5.0262500000000001,-0.073294229445734632
-5.0250000000000004,-0.069634504820373658
-5.0237500000000006,-0.065974780195014349
-5.0225,-0.062315055569651716
-5.0212500000000002,-0.058655330944290741
-5.0200000000000005,-0.058655330944290741
-5.0187499999999998,-0.054995606318929767
-5.0175000000000001,-0.054995606318929767
-5.0162500000000003,-0.051335881693568793
-5.0150000000000006,-0.051335881693568793
-5.0137499999999999,-0.051335881693568793
-5.0125000000000002,-0.051335881693568793
-5.0112500000000004,-0.047676157068207825
-5.0100000000000007,-0.047676157068207825
-5.00875,-0.047676157068207825
-5.0075000000000003,-0.047676157068207825
-5.0062500000000005,-0.047676157068207825
-5.0049999999999999,-0.047676157068207825
-5.0037500000000001,-0.047676157068207825
-5.0025000000000004,-0.047676157068207825
-5.0012500000000006,-0.051335881693567127
-5,-0.051335881693568793
-4.9987500000000002,-0.051335881693568793
-4.9975000000000005,-0.054995606318929767
-4.9962499999999999,-0.054995606318931432
-4.9950000000000001,-0.058655330944290741
-4.9937500000000004,-0.058655330944290741
-4.9925000000000006,-0.058655330944290741
-4.99125,-0.062315055569651716
-4.9900000000000002,-0.065974780195012683
-4.9887500000000005,-0.065974780195012683
-4.9874999999999998,-0.069634504820375323
-4.9862500000000001,-0.073294229445734632
-4.9850000000000003,-0.073294229445734632
-4.9837500000000006,-0.076953954071093941
-4.9824999999999999,-0.080613678696458246
-4.9812500000000002,-0.084273403321817555
-4.9800000000000004,-0.08793312794717853
-4.9787500000000007,-0.08793312794717853
-4.9775,-0.095252577197900479
-4.9762500000000003,-0.098912301823261439
-4.9750000000000005,-0.10257202644862241
-4.9737499999999999,-0.10257202644862574
-4.9725000000000001,-0.10989147569934436
-4.9712500000000004,-0.11355120032470534
-4.9700000000000006,-0.11721092495006465
-4.96875,-0.12087064957542729
-4.9675000000000002,-0.12453037420078826
-4.9662500000000005,-0.12819009882614923
-4.9649999999999999,-0.13550954807687285
-4.9637500000000001,-0.13916927270223214
-4.9625000000000004,-0.14282899732759313
-4.9612500000000006,-0.14648872195295243
-4.96,-0.15380817120367604
-4.9587500000000002,-0.157467895829037
-4.9575000000000005,-0.16112762045439799
-4.9562499999999998,-0.16478734507976062
-4.9550000000000001,-0.16844706970511994
-4.9537500000000003,-0.1721067943304809
