#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A9B
#Date Time: 2018-09-28 14:44:14.029
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.48345 V
#Offset: 0.000140576 V
#Relative: no
#Channel: Channel 2
#Range: 5.49193 V
#Offset: 0.000320022 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10,0.074593813207412124,-0.062723651166177452,-0.55090723322641821
10.974987654930557,0.074888685214591952,-0.063051382670781225,-0.60292457612834482
12.045035402587823,0.074916408227232278,-0.06334465476592982,-0.66199898755033892
13.219411484660288,0.074863561452764307,-0.063329089389902088,-0.72585789247201404
14.5082877849594,0.074897936191061207,-0.063596114746138993,-0.79613412013737417
15.922827933410924,0.074740967203240694,-0.064233403685794568,-0.87359048786566973
17.475284000076829,0.074731846050279369,-0.064297503727987509,-0.9585230329606631
19.179102616724887,0.074932183326434074,-0.065025271404172705,-1.0507351339826805
21.049041445120199,0.074712551364294277,-0.065243667547644629,-1.1557102168331568
23.101297000831604,0.07461716664514309,-0.065377581912011221,-1.2660245602194777
25.353644939701116,0.074778844153634949,-0.066307395982867667,-1.3889722393151089
27.825594022071257,0.074642991825518076,-0.067004090033627145,-1.5248664750670571
30.538555088334157,0.074789529755601006,-0.067947598760088199,-1.672926849923499
33.516026509388411,0.075061932941311943,-0.069017174362759601,-1.8350852098739381
36.783797718286344,0.074893561780536286,-0.070220639579644778,-2.0138270151235531
40.370172585965541,0.074810431879289097,-0.071263724443519041,-2.209851479501026
44.306214575838823,0.075005923484309622,-0.073196937487671226,-2.4228495205361185
48.626015800653533,0.074936870603713693,-0.075141760249740508,-2.6572155569952116
53.366992312063125,0.075153591981544768,-0.07765445004400616,-2.9153319286868093
58.570208180566674,0.074735069940680063,-0.080222009474807801,-3.1985011635503611
64.28073117284319,0.074971822946464289,-0.083702162151069945,-3.5085914707614592
70.548023107186452,0.075124253430026655,-0.087608477073380528,-3.8475773811913143
77.426368268112697,0.07494293164659302,-0.092024297281668499,-4.2203532923031162
84.975343590864384,0.074890068279982333,-0.09763724189537,-4.6265062937066261
93.26033468832199,0.074971847408848144,-0.10429095491876553,-5.0754313251148817
102.35310218990269,0.074861601837138123,-0.11179836789173656,-5.563415285833031
112.33240329780276,0.074719703588015676,-0.12091373078029286,-6.0994364339466465
123.28467394420659,0.074607398050131182,-0.13181921415959802,-6.6846002514948566
135.30477745798078,0.074740369892067088,-0.14484187414232846,-7.3274269935370295
148.49682622544651,0.074846155129465589,-0.16078794190400458,-8.0295635996123735
162.97508346206436,0.074675370246474693,-0.17904081231979579,-8.7953686367788038
178.86495290574351,0.07463321670249895,-0.20117267336969832,-9.6324525908401739
196.30406500402725,0.074521019150110057,-0.22750187706017611,-10.545968474019567
215.4434690031882,0.074601177137316149,-0.25874470196392985,-11.541136083852777
236.44894126454071,0.074502681659774792,-0.29570009657255947,-12.623792438977196
259.50242113997371,0.074725194376701068,-0.33971516950045666,-13.799473804896024
284.80358684358021,0.074069069475042659,-0.39184170184187694,-15.077159617292509
312.57158496882352,0.074342752697626871,-0.45377327891548058,-16.458214471012411
343.04692863149188,0.073709891284864493,-0.52653162520621899,-17.950255914495145
376.49358067924675,0.073667939612778677,-0.61206691556973047,-19.555431475253741
413.2012400115334,0.073377462434524116,-0.71297987687724662,-21.278837768748971
453.4878508128582,0.073123550330739653,-0.83102087860486351,-23.122847858089628
497.70235643321138,0.07331699477042751,-0.96848038119337521,-25.082915791103275
546.22772176843421,0.072595211735000581,-1.1271307071487124,-27.163574507144972
599.48425031894089,0.072961334018038171,-1.3107705979344655,-29.351521696707064
657.93322465756819,0.072530793043892219,-1.5211217487478805,-31.64770765050147
722.08090183854642,0.071636378047639365,-1.7605456426047716,-34.032517430195014
792.48289835391688,0.071281631515012919,-2.0311193877977014,-36.49912726518572
869.7490026177835,0.070697411549234424,-2.3354712476078268,-39.025800544165548
954.54845666183473,0.070027997817240922,-2.6745270575878122,-41.59501729417746
1047.6157527896651,0.069938886019171045,-3.0488089192304169,-44.190138427067197
1149.7569953977356,0.069037271398495165,-3.4591749370534193,-46.787221097505494
1261.8568830660211,0.067451398964826714,-3.9051389893570407,-49.363283973804428
1384.8863713938733,0.068935420836855776,-4.3857924699691804,-51.898233984067183
1519.9110829529332,0.067406551812791413,-4.9000525331806157,-54.376546709607339
1668.1005372000593,0.066256034576542264,-5.4456275590531718,-56.774914140132438
1830.738280295368,0.065961533467045558,-6.019533249203791,-59.077957055825962
2009.2330025650481,0.065340359666417908,-6.622393586044959,-61.296506642119539
2205.1307399030457,0.064114902993170922,-7.250049131069737,-63.386744022952271
2420.1282647943813,0.062405243335978376,-7.8989736009361797,-65.375676567456992
2656.0877829466867,0.060824929239644936,-8.5680737723171916,-67.242997457652592
2915.0530628251759,0.059663449425328828,-9.2553721561246487,-68.9899102182696
3199.2671377973847,0.059122005224616539,-9.9579747581069835,-70.622315302311677
3511.1917342151305,0.056929189092263806,-10.673480184228399,-72.142117804918712
3853.5285937105314,0.055463151385667264,-11.399280701770969,-73.54637335422791
4229.2428743894989,0.053800177068820482,-12.136512294212174,-74.861375310472766
4641.5888336127773,0.049524577361758144,-12.883599152530234,-76.064386915898851
5094.1380148163798,0.050531714251085894,-13.637065335489835,-77.186223757536069
