#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18976
#Date Time: 2018-10-16 14:30:19.166
#Sample rate: 793651Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: -50 mV

Time (s),Channel 1 (V),Channel 2 (V)
-0.005260626,-0.95347940837458667,-0.0008327557517568418
-0.0052593660000000006,-0.95347940837458667,-0.00049859328345585392
-0.0052581060000000002,-0.95281377718566351,-0.00016443081515456204
-0.0052568459999999999,-0.95281377718566362,-0.00049859328345554991
-0.0052555860000000005,-0.95314659278012503,-0.00016443081515456204
-0.0052543260000000001,-0.95281377718566351,-0.00049859328345570192
-0.0052530660000000007,-0.95281377718566351,-0.00049859328345570192
-0.0052518060000000004,-0.95314659278012503,-0.00049859328345570192
-0.005250546,-0.95347940837458667,-0.00049859328345570192
-0.0052492860000000006,-0.95281377718566385,-0.00083275575175668979
-0.0052480260000000003,-0.95281377718566351,-0.00049859328345570192
-0.0052467659999999999,-0.9528137771856634,-0.00016443081515456204
-0.0052455060000000005,-0.95248096159120188,-0.00016443081515456204
-0.0052442460000000002,-0.95214814599674036,-0.00049859328345570192
-0.0052429859999999998,-0.95214814599674047,-0.00049859328345554991
-0.0052417260000000004,-0.95248096159120188,-0.00016443081515456204
-0.005240466,-0.95248096159120188,-0.00016443081515456204
-0.0052392060000000006,-0.95248096159120188,-0.0008327557517565379
-0.0052379460000000003,-0.95248096159120188,-0.0008327557517568418
-0.0052366859999999999,-0.95281377718566351,-0.0008327557517568418
-0.0052354260000000005,-0.95281377718566351,-0.0008327557517568418
-0.0052341660000000002,-0.95214814599674036,-0.00016443081515456204
-0.0052329059999999998,-0.95248096159120188,-0.00016443081515471399
-0.0052316460000000004,-0.95248096159120188,-0.00049859328345570192
-0.0052303860000000001,-0.95214814599674036,-0.00049859328345570192
-0.0052291260000000006,-0.95214814599674036,-0.00049859328345570192
-0.0052278660000000003,-0.95181533040227873,-0.00049859328345570192
-0.005226606,-0.95214814599674025,-0.00049859328345570192
-0.0052253460000000005,-0.95181533040227873,-0.00049859328345570192
-0.0052240860000000002,-0.9514825148078172,-0.00049859328345570192
-0.0052228259999999999,-0.94981843683550904,-0.00049859328345585392
-0.0052215660000000004,-0.94915280564658622,-0.0008327557517568418
-0.0052203060000000001,-0.94815435886320143,-0.00016443081515456204
-0.0052190460000000006,-0.9471559120798172,-0.00016443081515456204
-0.0052177860000000003,-0.94582464970197044,-0.00049859328345570192
-0.005216526,-0.94416057172966261,-0.0008327557517568418
-0.0052152660000000005,-0.9428293093518163,-0.0008327557517568418
-0.0052140060000000002,-0.94049960019058532,-0.0008327557517568418
-0.0052127459999999999,-0.9401667845961228,-0.00049859328345570192
-0.0052114860000000004,-0.93816989102935433,-0.00049859328345570192
-0.0052102260000000001,-0.93717144424596954,-0.0008327557517568418
-0.0052089660000000006,-0.93584018186812379,-0.00049859328345585392
-0.0052077060000000003,-0.93351047270689225,-0.00016443081515456204
-0.005206446,-0.93217921032904594,-0.00049859328345570192
-0.0052051860000000005,-0.93084794795119963,-0.0008327557517568418
-0.0052039260000000002,-0.9291838699788918,-0.0008327557517568418
-0.0052026659999999999,-0.9278526076010446,-0.00083275575175638589
-0.0052014060000000004,-0.92585571403427602,0.0001697316531465709
-0.0052001460000000001,-0.92385882046750667,-0.00016443081515456204
-0.0051988860000000007,-0.92152911130627668,-0.00049859328345554991
-0.0051976260000000003,-0.91886658655058306,-0.00049859328345570192
-0.005196366,-0.91753532417273675,-0.00016443081515456204
-0.0051951060000000005,-0.91487279941704536,0.00016973165314641895
-0.0051938460000000002,-0.91254309025581315,-0.00016443081515456204
-0.0051925859999999999,-0.9105461966890428,-0.00049859328345585392
-0.0051913260000000004,-0.90854930312227422,-0.0008327557517568418
-0.0051900660000000001,-0.90588677836658171,-0.00016443081515456204
-0.0051888060000000007,-0.90289143801642879,-0.00049859328345554991
-0.0051875460000000003,-0.90056172885519647,-0.00016443081515456204
-0.005186286,-0.89856483528842701,-0.00049859328345570192
-0.0051850260000000006,-0.89590231053273572,-0.00049859328345570192
-0.0051837660000000002,-0.89323978577704188,-0.00049859328345570192
-0.0051825059999999999,-0.889911629832425,0.0001697316531465709
-0.0051812460000000005,-0.88758192067119512,0.0001697316531465709
-0.0051799860000000001,-0.88525221150996414,-0.00016443081515456204
-0.0051787260000000007,-0.88192405556534992,-0.00049859328345554991
-0.0051774660000000004,-0.87892871521519422,-0.00016443081515456204
-0.005176206,-0.87693182164842476,-0.00016443081515456204
-0.0051749460000000006,-0.87393648129827195,-0.00049859328345554991
-0.0051736860000000003,-0.8699426941647318,-0.00016443081515456204
-0.0051724259999999999,-0.86761298500349904,0.00016973165314641895
-0.0051711660000000005,-0.86395201346442341,-0.00016443081515456204
-0.0051699060000000002,-0.86095667311426927,-0.00016443081515456204
-0.0051686459999999998,-0.85796133276411335,-0.00016443081515471399
-0.0051673860000000004,-0.85396754563057631,-0.00049859328345570192
-0.0051661260000000001,-0.84964094290257586,-0.00049859328345570192
-0.0051648660000000006,-0.84564715576903871,-0.00049859328345570192
-0.0051636060000000003,-0.84265181541888279,-0.00049859328345570192
-0.0051623459999999999,-0.83932365947426535,-0.00016443081515456204
-0.0051610860000000005,-0.83566268793518972,-0.00016443081515456204
-0.0051598260000000002,-0.8316689008016509,0.0001697316531465709
-0.0051585659999999998,-0.82700948247918715,0.0001697316531465709
-0.0051573060000000004,-0.82334851094011152,0.0001697316531465709
-0.0051560460000000001,-0.81902190821211107,0.0001697316531465709
-0.0051547860000000006,-0.81536093667303544,0.0001697316531465709
-0.0051535260000000003,-0.81136714953949485,-0.00049859328345570192
-0.005152266,-0.80637491562257124,-0.00016443081515456204
-0.0051510060000000005,-0.80271394408349395,-0.00016443081515456204
-0.0051497460000000002,-0.79872015694995513,-0.00049859328345570192
-0.0051484859999999999,-0.79472636981641398,-0.00049859328345554991
-0.0051472260000000004,-0.7897341358994926,-0.00016443081515456204
-0.0051459660000000001,-0.78507471757703062,-0.00016443081515456204
-0.0051447060000000006,-0.78074811484903217,-0.00016443081515456204
-0.0051434460000000003,-0.77608869652656809,0.0001697316531465709
-0.005142186,-0.77176209379856764,-0.00049859328345570192
-0.0051409260000000005,-0.76743549107056719,-0.00049859328345570192
-0.0051396660000000002,-0.76144481037025891,-0.0008327557517568418
-0.0051384059999999999,-0.75711820764225668,-0.00016443081515471399
