#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18976
#Date Time: 2018-10-16 14:20:40.911
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -2.5 V
#Channel 2: Range: 500 mV/div Offset: -2.5 V

Time (s),Channel 1 (V),Channel 2 (V)
-4.0960000000000001e-05,3.437516428205492,1.9798836592235682
-4.0949999999999999e-05,3.4704539498337406,1.9862327461212899
-4.0939999999999998e-05,3.4594747759576774,1.9942526453605205
-4.0930000000000003e-05,3.5033914714619692,2.000935894726537
-4.0920000000000001e-05,3.4924122975859064,2.0096241189023694
-4.091e-05,3.4887525729605455,2.0183123430781991
-4.0899999999999998e-05,3.4924122975859064,2.0263322423174266
-4.0890000000000003e-05,3.4924122975859064,2.037025441303058
-4.0880000000000002e-05,3.4631345005830187,2.0457136654788926
-4.087e-05,3.4704539498337406,2.0557385395279266
-4.0859999999999998e-05,3.4228775297040479,2.066765900981864
-4.0849999999999997e-05,3.4045789065772345,2.0757882876260001
-4.0840000000000002e-05,3.386280283450438,2.0878181364848358
-4.083e-05,3.3460233125714671,2.0995138228753754
-4.0819999999999999e-05,3.3387038633207453,2.1108753467976142
-4.0809999999999997e-05,3.2911274431910345,2.124241845529665
-4.0800000000000002e-05,3.2508704723121,2.1359375319201943
-4.0790000000000001e-05,3.1996343275570283,2.1503065180571483
-4.0779999999999999e-05,3.1557176320526965,2.1656779915990008
-4.0769999999999998e-05,3.1008217626722638,2.1783761653944507
-4.0760000000000003e-05,3.0605647917933294,2.192745151531386
-4.0750000000000001e-05,3.0093286470382576,2.2081166250732451
-4.074e-05,2.9544327776578432,2.2238222610833986
-4.0729999999999998e-05,2.8922174590267069,2.2385254096886489
-4.0720000000000003e-05,2.8519604881477543,2.2528943958255909
-4.0710000000000002e-05,2.7860854448912384,2.2679317068991489
-4.07e-05,2.7202104016347408,2.2846398303142057
-4.0689999999999998e-05,2.6653145322543264,2.3013479537292625
-4.0679999999999997e-05,2.5921200397470936,2.3147144524613168
-4.0670000000000002e-05,2.5628422427442192,2.3337617131544728
-4.066e-05,2.4786685763609166,2.3481306992914219
-4.0649999999999999e-05,2.4274324316058631,2.365841310111382
-4.0639999999999997e-05,2.3505782144732494,2.3842202458679504
-4.0630000000000002e-05,2.2773837219660966,2.3969184196633821
-4.0620000000000001e-05,2.2151684033349266,2.4162998428248539
-4.0609999999999999e-05,2.1749114324559562,2.4320054788350074
-4.0599999999999998e-05,2.1053766645740728,2.4480452773134687
-4.0590000000000003e-05,2.0504807951937076,2.462414263450404
-4.0580000000000001e-05,1.9992446504386292,2.4771174120556609
-4.057e-05,1.9553279549342975,2.4901497483194053
-4.0559999999999998e-05,1.8857931870524391,2.5021795971782463
-4.0550000000000003e-05,1.8748140131763611,2.5088628465442659
-4.0540000000000001e-05,1.8052792452944977,2.5158802583785929
-4.053e-05,1.7467236512887221,2.5168827457834961
-4.0519999999999998e-05,1.7211055789111953,2.516548583315195
-4.0509999999999997e-05,1.680848608032208,2.5101994964174712
-4.0500000000000002e-05,1.6442513617786148,2.5051870593929566
-4.049e-05,1.6076541155250053,2.4985038100269339
-4.0479999999999999e-05,1.5893554923982003,2.4898155858511042
-4.0469999999999997e-05,1.5527582461445839,2.4801248742703659
-4.0460000000000002e-05,1.5381193476431467,2.4687633503481323
-4.0450000000000001e-05,1.5234804491417027,2.4584043138307972
-4.0439999999999999e-05,1.5051818260148979,2.446040302503655
-4.0429999999999997e-05,1.5051818260149012,2.4326738037716042
-4.0420000000000003e-05,1.5125012752656166,2.4213122798493765
-4.0410000000000001e-05,1.5015221013895368,2.4059408063075187
-4.0399999999999999e-05,1.5271401737670636,2.3949134448535809
-4.0389999999999998e-05,1.5051818260148979,2.3815469461215355
-4.0380000000000003e-05,1.5088415506402573,2.3701854221993024
-4.0370000000000001e-05,1.5381193476431467,2.3558164360623479
-4.036e-05,1.5527582461445906,2.3427840997986036
-4.0349999999999998e-05,1.5783763185221173,2.3307542509397625
-4.0339999999999997e-05,1.6003346662742981,2.3137119650563993
-4.0330000000000002e-05,1.633272187902532,2.3020162786658647
-4.032e-05,1.6515708110293368,2.2893181048704214
-4.0309999999999999e-05,1.6954875065336685,2.2739466313285694
-4.0299999999999997e-05,1.7357444774126558,2.2599118076599156
-4.0290000000000002e-05,1.7723417236662491,2.2472136338644781
-4.0280000000000001e-05,1.8235778684213027,2.2321763227909273
-4.0269999999999999e-05,1.882133462427078,2.2188098240588818
-4.0259999999999997e-05,1.9187307086807146,2.2034383505170227
-4.0250000000000003e-05,1.9772863026864367,2.1890693643800869
-4.0240000000000001e-05,2.0321821720668778,2.1733637283699268
-4.0229999999999999e-05,2.0797585921965709,2.1606655545744835
-4.0219999999999998e-05,2.1456336354530681,2.1432891062228245
-4.0210000000000003e-05,2.193210055582739,2.1292542825541831
-4.0200000000000001e-05,2.2554253742138974,2.1148852964172278
-4.019e-05,2.3286198667211169,2.1015187976851823
-4.0179999999999998e-05,2.3835157361015313,2.0881522989531369
-4.0170000000000003e-05,2.4567102286087175,2.0734491503478933
-4.0160000000000002e-05,2.4933074748623607,2.0597484891475402
-4.015e-05,2.5738214166203019,2.0467161528837958
-4.0139999999999999e-05,2.6250575613753555,2.0330154916834493
-4.0129999999999997e-05,2.6872728800065171,2.0199831554197001
-4.0120000000000002e-05,2.7421687493869067,2.0096241189023694
-4.0110000000000001e-05,2.8153632418941261,1.9995992448533353
-4.0099999999999999e-05,2.8812382851506237,1.9922476705507104
-4.0089999999999997e-05,2.9324744299057039,1.9815544715650715
-4.0080000000000003e-05,2.9910300239114265,1.9758737096039574
-4.0070000000000001e-05,3.0459258932918676,1.9678538103647274
-4.0059999999999999e-05,3.1044814872976429,1.964512185681716
